id,created_at,updated_at,name,slug
clymkgldh0000dy2kur7s9uaq,2024-07-15 05:51:07.826,2024-07-15 05:51:26.427,Бренды,brendy
clymkij7c0003dy2k7p4s7grl,2024-07-15 05:52:38.328,2024-07-15 05:52:48.499,"Уход за лицом ",uhod-za-litsom-
clymkjdrr0004dy2ktzjtlmyb,2024-07-15 05:53:17.943,2024-07-15 05:53:29.023,Уход за волосами,uhod-za-volosami
clymkjo1k0005dy2kt0b6ffgk,2024-07-15 05:53:31.256,2024-07-15 05:53:37.907,Уход за телом,uhod-za-telom
clymkjuua0006dy2kv3pt594r,2024-07-15 05:53:40.066,2024-07-15 05:53:48.277,Специальный уход,spetsialnyj-uhod
clymkk3540007dy2kjmjnjrm2,2024-07-15 05:53:50.825,2024-07-15 05:53:59.143,Декоративная косметика,dekorativnaya-kosmetika
clymkkd5y0008dy2kctzrc9s3,2024-07-15 05:54:03.815,2024-07-15 05:54:11.187,"Аксессуары ",aksessuary-
clymkkkss0009dy2klepyhkuj,2024-07-15 05:54:13.708,2024-07-15 05:54:24.831,Акции и скидки,aktsii-i-skidki
