id,created_at,updated_at,image,title,slug,description,is_public,count_views,count_likes,likes_ids_users
clymltfj8001cdy2k7v0b2yjy,2024-07-15 06:29:06.404,2024-07-21 18:23:40.859,/uploads/posts/298ed3c4-deae-4b48-95da-6e7aea8c2732-korea-cosmos-1721037449732.jpeg,Дарим гель-алоэ Holika-Holika,darim-gel-aloe-holika-holika,"1-2 июня при покупке от 2000₽ дарим <a href=""https://koreacosmos.ru/product/universalnyj-uvlazhnyayushhij-gel-aloe-holika-holika-aloe-99-soothing-gel-55-ml/"">универсальный увлажняющий гель алоэ Holika Holika Aloe 99% Soothing Gel 55 мл</a><div><br></div><div>Акция действует на сайте и в розничном магазине по адресу: Ульяновск, ул. Гончарова, 34, ТЦ Садко, 1 этаж, <a href=""https://koreacosmos.ru/personalnaya-skidka/"">суммируется с вашей персональной скидкой.</a></div>",true,25,1,"[""clylvi3er0000cl33j5lf7bhp""]"
clymmxkge002ndy2kz05yt8u9,2024-07-15 07:00:19.022,2024-07-21 18:23:35.47,/uploads/posts/3412618b-8452-4355-a568-8ba12c9ad2ee-korea-cosmos-1721037127501.png,-20% на Fraijour,-20-na-fraijour,"4-7 июня действует <b>скидка 20% при покупке двух и более средств</b> бренда <a href=""https://koreacosmos.ru/product-category/brendy/fraijour/""><b>Fraijour</b></a><div><br></div><div>Скидка автоматически появится в корзине при добавлении двух и более разных позиций бренда и исчезнет, если в корзине останется только один продукт марки.</div><div><br></div><div>Акция не суммируется с персональной скидкой и другими акциями.</div><div><br></div><div>Также действует в розничном магазине.</div>",true,22,2,"[""clylvi3er0000cl33j5lf7bhp"",""clyn82aom0008fk2k2ooqakb5""]"
clymn7gp7002qdy2klcnodri3,2024-07-15 07:08:00.715,2024-07-21 18:23:30.195,/uploads/posts/af4bb818-7ad5-4891-ba0b-d62f326622f4-korea-cosmos-1721035357667.jpeg,Покупай сейчас — плати потом,pokupaj-sejchas-plati-potom,"<b>Подели</b> – абсолютно бесплатный сервис оплаты покупок по частям, не требующий подключения дополнительных услуг. Никаких дополнительных платежей и процентов – как обычная оплата картой! Сегодня оплачивайте только 25% стоимости заказа, остальное – тремя равными платежами раз в две недели. Данный способ оплаты доступен в случаях, когда сумма к оплате заказа не менее 300 рублей и не более 30 000 рублей. Вы можете следить за графиком платежей в мобильном приложении Подели. Подробная информация о работе сервиса на <a href=""https://podeli.ru/"">Подели</a> — сервис оплаты покупок долями.<div><br></div><div><b>Как это работает?</b></div><div><ol><li>Соберите корзину на сумму от 300₽ до 30 000₽, на этапе Оплата заказа выберите способ оплаты Подели.</li><li>Укажите ФИО, дату рождения, номер телефона и привяжите карту для оплаты покупок.</li><li><span>Оплатите 25% стоимости покупки, оставшиеся три части спишутся с карты автоматически с шагом в две недели.</span><br></li></ol></div><div><b>Внимание!</b> Подарочные сертификаты оплате частями не подлежат.</div>",true,39,1,"[""clylvi3er0000cl33j5lf7bhp""]"
