id,created_at,updated_at,image_path,bannerSlug,banner_type,order
clz1iv1910003tlksfpebvu4l,2024-07-25 17:02:54.998,2024-07-25 17:04:38.463,/uploads/carousel/alginatka-korea-cosmos-1721921099183.jpg,alginatnye-maski,Products,2
clz1iteqn0001tlks7fsf64hp,2024-07-25 17:01:39.167,2024-07-25 18:27:54.619,/uploads/carousel/900romen-korea-cosmos-1721921085721.jpg,romnd,Categories,0
clz1iucoz0002tlksjll3euqf,2024-07-25 17:02:23.172,2024-07-26 10:27:31.672,/uploads/carousel/mikroigly-korea-cosmos-1721921107233.jpg,antivozrastnaya-peptidnaya-emulsiya-bueno-mgf-peptide-emulsion,ProductDetails,1
clz1ispog0000tlksx7o7jojd,2024-07-25 17:01:06.688,2024-07-26 10:28:53.379,/uploads/carousel/foto-v-blog2-3-korea-cosmos-1721921102094.jpg,pokupaj-sejchas-plati-potom,Post,4
clz1iycip0004tlksxki4ygxo,2024-07-25 17:05:29.569,2024-07-26 10:30:16.482,/uploads/carousel/56342343-8878-4875-9537-aea6c7e4e6d8-korea-cosmos-1721989812899.jpeg,krem-s-peptidami-dlya-borby-s-vozrastnymi-izmeneniyami-bueno-anti-wrinkle-peptide-cream-5-ml,ProductDetails,2
